totalRuntime,timeSliceValue,contextSwitchValue,
6914,2,1,
processID,timeTaken,timeCompleted,
39, 1, 115,
58, 2, 171,
27, 299, 377,
51, 296, 444,
30, 586, 673,
100, 579, 873,
75, 863, 1082,
21, 1156, 1216,
81, 1139, 1376,
94, 1411, 1687,
11, 1974, 2004,
36, 1963, 2068,
57, 2486, 2652,
2, 3029, 3032,
28, 3018, 3099,
17, 3280, 3328,
55, 3512, 3672,
99, 3496, 3787,
43, 3764, 3888,
84, 3746, 3992,
35, 4011, 4113,
52, 4000, 4151,
63, 4225, 4408,
82, 4217, 4457,
20, 4492, 4549,
40, 4471, 4586,
47, 4689, 4825,
65, 4670, 4859,
79, 4665, 4896,
18, 4934, 4985,
34, 4917, 5016,
44, 4903, 5030,
83, 4866, 5109,
22, 5132, 5195,
50, 5099, 5244,
87, 5059, 5314,
95, 5055, 5334,
96, 5054, 5336,
24, 5322, 5391,
25, 5321, 5393,
73, 5265, 5478,
74, 5264, 5480,
4, 5520, 5529,
59, 5447, 5618,
68, 5439, 5637,
72, 5438, 5648,
90, 5410, 5674,
5, 5684, 5696,
15, 5680, 5722,
41, 5636, 5754,
85, 5569, 5818,
86, 5567, 5819,
1, 5841, 5841,
32, 5794, 5887,
70, 5739, 5943,
76, 5726, 5948,
92, 5698, 5968,
7, 5966, 5984,
33, 5926, 6022,
54, 5890, 6047,
80, 5848, 6082,
37, 6035, 6143,
45, 6021, 6151,
64, 5991, 6177,
97, 5923, 6208,
8, 6198, 6219,
23, 6175, 6241,
48, 6121, 6260,
53, 6110, 6264,
61, 6095, 6272,
26, 6261, 6336,
67, 6173, 6368,
77, 6150, 6375,
89, 6122, 6383,
71, 6247, 6454,
88, 6201, 6459,
91, 6193, 6460,
98, 6176, 6464,
6, 6454, 6469,
10, 6446, 6473,
9, 6507, 6531,
19, 6491, 6545,
93, 6310, 6583,
42, 6488, 6609,
60, 6445, 6619,
3, 6626, 6632,
62, 6484, 6664,
12, 6642, 6675,
66, 6511, 6703,
14, 6674, 6713,
38, 6613, 6724,
16, 6699, 6744,
13, 6731, 6767,
31, 6723, 6813,
78, 6599, 6827,
49, 6707, 6849,
56, 6724, 6887,
69, 6697, 6898,
29, 6822, 6906,
46, 6781, 6914,
